name,rating,wouldTakeAgain,levelOfDifficulty,topTags,similarProfs,reviews,numReviews
Emin Gun Sirer,3.7,0%,3.8,Hilarious; Gives good feedback; Would take again; Lots of homework; Respected; Amazing lectures; Participation matters,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","Best CS professor at Cornell. Hands down.; he was a great lecturer; Great lectures are run like a large discussion, but often don't describe topics comprehensively enough for full coverage.  He really stimulates interest in OS though. Exams and grading are very hard.  Treat the lecture and prac as 4 credits each in terms of work load.; Confusing lectures, need to read textbook...; Such an excellent class and Prof. Sirer is a phenomenal lecturer. He knows the material very well and if you go to class, read the book, and spend time on the assignments.. you will do fine. Exams are brutal, but the workload is not too bad. Overall, great course.. but don't expect to get an 'A' grade.; Topics are in general interesting. Projects are enjoyable. However, project description is always vague (clarification is even 2 * longer than original description). Grading sometimes doesn't follow description quite well.; eee; I loved cs316. Corewars was awesome.; 316 may be better than 314, but is very hard. Gun likes to skip 314 material and cover 50% of 414.  Gun _tries_ very hard to engage the class.  He's also the only professor I know who has a huge ego to accompany his 'l33t h4x0r ski11z'.  He can tend to be terribly unhelpful.  Work hard; he expects genius.  Behold the preppiest CS professor alive.; This class was supposed to be the most time intensive core EE/CS course. For some reason, the 4 killer projects got shrunk to 2 (3rd optional) which covered the first 2 of the 4 topics. The last project was supposed to be so hard it took the place of a final.  We ended up having to copy diagrams from our texts. Could have been cool. Was not.; Excellent. Made me decide to pursue systems.; excellent course. the prof. was dedicated to clarifying the material. learned more in this course than all others combined. never mind the person complaining about the project. there were three projects, first and third were awesome, the second was identical to a part of last year's.; This professor screwed up ECE 314. This course was destroyed because there was no project. This was blamed on ""not being able to install the software."" How can you not be able to install software?? This professor was lazy and not organized. He stopped giving HW in October! Writes too small on the board, very unclear. Worthless.; This was a challenging course, where the prof. was dedicated to clarifying issues in class. Prof. Sirer had another prof. take over for him, but cut him some slack - he said it was due to a family emergency. Overall, a memorable class where I learned a lot.; I wish the guy showed up for class more often.; Very disorganized, unprepared.Sirer did practically nothing except show up- sometimes. He doesn't know anything about the projects he reuses. And he likes to spring surprises on you (some good, some bad), like changing exam dates at the last moment, and making it closed-book and 2 1/2 hours long.; Lectures were really bad at the beginning of the semester, disorganized, unclear. Improved towards the end. Final project was a killer, as it was due in the middle of finals week. Granted it was his first time teaching the class. Very helpful and friendly professor.; The class started off terribly, but as the semester moved on and he started showing up to class things improved dramatically. His lecturing skills could use some work, but in the end his grading is fair (even generous) and you'll have learned something.; He isn't strong with the A/D circuit portion of the course, but he is very clear on the CS material. His lectures became great when he put away the aged powerpoint slides and started teaching with the blackboard. It's a shame that there was a month left of class when he did that.",19
Ramin Zabih,3.5,50%,3.1,Respected; Hilarious; Amazing lectures,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","Medical Literacy was amazing! It got me excited about diverse medical fields. Ramin didn't lecture himself but behind the scenes, organized group of practicing physicians from Weill Cornell medicine. Every session was a case study and explored a field. The session on lung cancer made me quit smoking. So this class extended my life span by 10 years!; I did not like the lack of organization on the HWs and exams. TAs write the HWs and half of each exam. I was told the class gets harder every year. With 5 minutes left on each prelim, we got 15-30 extra minutes, but no extra time on the final, so don't expect it all the time. Overall, that made me feel a lack of trust. Do well on the final.; His first time teaching in years.  Lectures were not pertinent much and not updated online until right before final.  Problem Sets were managed solely by the TAs.  Prelims were fine.  Grade in class is almost solely based on final, as stated by email afterwards.  He's a decent person, but do try to stay away as far as class goes.; Extremely careless about classes. Lecture notes are updated 1 month later (Those for the finals haven't been updated yet).; Ramin is amazing! Extremely interesting lectures. Really knows his stuff. Enthusiastic about the subject. Best CS class I have taken. You really learn a lot about CS rather than just programming.; Incredible class. Ramin makes intro CS extremely interesting. While other CS100 classes were doing mind-numbing pointless programming assignments, we  actually learned useful CS applications and picked up the programming as we went.; Ramin is a God. Being taught by a genius like this is a true blessing.; Taking 312 with Ramin really kindled my interest in CS.  He's a dynamic and lucid lecturer, with a flair for the material.  His exams were engaging, the homework was interesting and manageable.  I hear good things about machine vision, but can't comment from personal experience.; Took class Fall 1996.  Funny guy.  Once asked the students why they took a 9AM lecture.  (um, we were freshmen, we had little choice.)  Exams and assignments were difficult but fair.; 312 students should complain about the material, not the teacher.  this guy was really great in machine vision- great sense of humor and definitely one of the top 5 lecturers in the cs dept; He managed to make lectures confusing even without using PowerPoint.; Course textbook: Hitchhiker's Guide to the Galaxy. Variable names Ford, Arthur and HHGTG were common. Lots of intel references. On a whole, really liked his teaching style. Wierd, geeky humor.; Went on personal rants all the time, and didn't really teach us much about the material. Extremely hard to get a hold of, and the grading was a constant mess. I will avoid him in the future.; Clear, thought-out lectures. Coursework can be demanding, and tedious at times. Has a strange pechant for THHGTTG.; Given that the material is difficult, Ramin is pretty good at explaining it.  He could be better; sometimes his examples too quickly, and his explanations are not always direct.  He will, however, make you understand all the major concepts.; Conceited; the class is marked by arrogant speeches that sound as if he's doing the students some kind of enormous favour by teaching them. He's very hard to get a hold of outside of class, a disorganized lecturer, and the coursework is extremely hard.; Ramin is a VERY dedicated teacher, he takes the class very seriously, and he's an interesting lecturer. He's not the best teacher ever, but he's damn, damn good.",17
Qing Zhao,5,100%,3,Hilarious; Would take again; Amazing lectures,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]",,0
Volodymyr Kuleshov,N/A,N/A,N/A,,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]",,0
Gennady Shvets,3.5,50%,4.3,Tough grader; Lots of homework; LOTS OF HOMEWORK; TEST HEAVY; Skip class? You won't pass.; Tough Grader; Test heavy; Get ready to read,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Slow lecturer, awful human being. Not at all sympathetic to extenuating circumstances.; Good luck LOL. The tests in this class are very hard. He's a good lecturer but sometimes people might get a little confused. But that's just the nature of the material. Study your ass off for the midterms and try to get an average grade.; LOVE DIS GUY",3
Thomas Cleland,3.5,75%,2,EXTRA CREDIT; Lots of homework; LOTS OF HOMEWORK; Group projects; Clear grading criteria; Get ready to read,"[['4.70', 'Parnia Haj-Mohamadi', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2662892'], ['4.60', 'Cindy Hazan', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=192515'], ['4.40', 'Marianella Casasola', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=529941']]","Prof. Cleland is an awesome and kindhearted professor, but he can be nit-picky about the grading. Go to OH and review your homework questions with a TA before you submit; otherwise, you can miss points even if you understood the question. Go to lecture and take detailed notes, then transcribe those onto your exam cheat sheet. You'll get an A.; Tons of homework, esp. if you do the 4-credit option. Thom (as he signs his emails) is an interesting guy teaching a *very* dry subject. Intro stats can be memorized, which makes it pretty boring. I don't go to lecture and I just read the slides so I'm not a great judge of his teaching abilities. Very easy class, however, as he grades v reasonably.; Easy class if you put in the effort to read the textbooks. Prelims are open-note, but you don't really even need the notes: the information isn't that hard. Lectures are kinda a doozy but he's a nice guy with some funny moments.",3
James Shealy,3.5,100%,4.2,Hilarious; EXTRA CREDIT; Lots of homework; LOTS OF HOMEWORK; Respected; Clear grading criteria; Lecture heavy; Caring,"[['5.00', 'Alice Mercier', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2496619'], ['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568']]","Honestly a great professor. Teaches the Intro Circuits class very well, doesn't waste time during lectures. Can tell he really cares about ensuring that you're getting your money's worth from the lectures, so they end up being quite dense and fast paced. Has hilarious comments he'll make during class. 2100 is hard b/c of material, not b/c of him.; Lecture's are pretty standard, a bit fast paced at first, but settles down as the semester progresses. Problem sets are biweekly, but very long. Labs also take a very long time and are often confusing. Exams are very easy; he gives you very explicit hints to the content of the exams before hand since 2100 covers so much material.; He's a nice guy and is always willing to help you out. That said, lectures are hopelessly fast paced, he treats corequisites as prerequisites, and blows through a 2-3 semester texbook in one.; An extremely challenging professor. Lectures left me lost and confused every time with difficult exams. Homework and lab reports took forever. Some labs were interesting, but the class was a nightmare overall.; Shealy is ridiculously smart. Definitely a genius.; Shealy is the MAN. He teaches you how to think like an engineer. His tests are a bit tough but if you have the intuition they're easy. I just wish he'd teach every ECE class because that would be sick; The course, the book and Shealy's teaching attitude/ability left me with a feeling that a large part of my tuition money has been spent by Dick Shealy on pregaming before the lectures. The guy is smart, but makes no effort to teach the class. The amount of information this course covers is ridiculous. Labs and homeworks are devices for torture!; Definitly a genious. Funny. Has pride in GaAs, but from what I hear, it sucks!~ Always complained that the prof of the class before him wrote too high~! Says he was in a frat; Totally disastrous class. You definitely have to read the textbook to keep up with him. His exams are killer - the only way to survive is to make a super comprehensive ""cheatsheet"" to bring into exam, and just copy every crap on ur cheatsheet onto the exam.; Bad temper. Has half a bottle of whiskey on him before going to lab. Makes exams insanely hard. Is a freaking genius. Willing to help, as long as he is in a good mood. But a nice guy none the less.; This class is probably a hard class itself, and it's not Shealy's fault.  A lot of notes to copy,and material is covered very quickly, probably because Shealy expects everyone to be as smart as him.  But I have to say, he IS a very smart prof. An intellectually stimulating course.; He doesn't know how to calculate standard deviation of an exam =P there's no way that the SD of a prelim is 44.; It is true that ECE 315 is among the hardest course in ECE department..and you will hate shealy after the first prelim. But if you ask for help (be sure to say no if you don't understand), shealy is extremely helpful. after taking the course, you will learn a lot and realize shealy is a great prof; Knows his stuff but is really hardcore.  He always made me laugh so that made a hard class a little easier in lecture.  Don't blame Shealy, 315 is a hard hard class.  Plus I drank with him one night at the 9s.  Classic.; Horrible class! He goes through the material at break-neck speed and then blames US for not knowing the material well! He thinks every one of us majors in ECE 315 but he's sadly mistaken. This stinking class is yet another of Cornell's bad core classes.; He makes jokes that are not funny, because he thinks they are funny.Besides, he smells like alcohol( whiskey, to be precise). He assumes that we know everything and he doesn`t care whether we actually know the material.; I love this man...soo damn cool even though he was always late to class, he helped me a great deal; No Comments; No Comments",19
Christopher Batten,5,100%,3.3,Gives good feedback; Tough grader; Inspirational; Respected; Amazing lectures; Clear grading criteria; So many papers; Beware of pop quizzes; Participation matters; Caring; Accessible outside class,"[['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627'], ['5.00', 'Joseph Skovira', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2367270']]","One of the best professors I've had at Cornell! I'm from another engineering major, took this class for fun. Great lectures, super responsive, you can tell he really enjoys teaching Coursework is reasonable, there's clear criteria for getting a good grade, and you're not curved relative to other students.; Hands down one of the best professors at Cornell. Although some of the reports are rough, you can always seek help at his office hours or his great TAs. I extremely recommend that ECEs take ECE2400 instead of CS 2110.; One of the best professors in the Engineering department, if not Cornell. If you pay attention in class, you will do well for sure. Only hard part was the long lab reports we had to write.; His lecture is great and you do need to put effort to study; Great professor who really goes in depth to make sure you understand each topic he teaches. He's always accessible outside of class and gives helpful feedback on exams/homework assignments. Pretty tough grader and assignments are challenging, but you'll learn so much from this class.; best professor of all time; Batten is simply one of the best professors at Cornell. He is well prepared before every lecture and explains concepts very well. Video-notes are still very helpful. Homework is  long and difficult but you can learn a lot. Project can be challenging, but Batten will help you find your bug. He is as dedicated a professor as they come.; One of the best professors I have ever had (I am a Master's student whose undergraduate institution is not Cornell). He is funny, he knows his stuff really well. He is extremely willing to help students learn. He explains concepts remarkably well. Very enjoyable class. He is tough on grading though.; He is an awesome Professor. He helps us in learning every concept by giving a real-time analogy. All his assignments help us in strengthening our knowledge in all of the important concepts. He makes us approach every problem from a different perspective. We are confidently able to talk about design trade-offs after attending this course.; Hands down one of the best professors in the ECE dept. Class is challenging but the effort from the prof to help out, in class, in his office or on the online forums makes you an expert in his subject. Explanations and notes are clear and always encourages constructive discussions! Labs are hard and do require time, but you'll be proud of the work!",10
Vikram Krishnamurthy,4.2,80%,3.8,Gives good feedback; Skip class? You won't pass.; Clear grading criteria; Amazing lectures; Lecture heavy; Graded by few things; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Professor Krishnamurthy is extremely intelligent and passionate about the material he teaches. He is very easy to contact outside of class and would respond to my emails about the class almost within an hour. In addition, he took measures listen to our feedback by giving homework drops and notes on slides. Overall a great professor!; His ECE 2720 is the most versatile, rigorous course I have taken. Feels like a proper 3000 level course. Covers an insane variety of very useful topics. Everyone should take this course. Although the instructor for this course changes every semester.; Giving this rating because the professor, during Covid, when the university declared students would not be mandated to go to class in person, threatened to fail students for missing classes. That is all.; Super chill, very accessible and encouraging. A very intelligent professor who knows his stuff. His lectures are math-focused and he covers a lot of materials, and he gives a quiz every lecture (but they are pretty easy). But no prelims so what you get out of the course is entirely dependent on your own interests and initiatives.",4
Park Doing,2.6,20%,2.7,Would take again; GRADED BY FEW THINGS; Skip class? You won't pass.; Graded by few things; Get ready to read; Participation matters; Accessible outside class,"[['4.80', 'Kate Manne', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1911683'], ['4.70', 'Lucia Munguia', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2294646'], ['4.20', 'William Starr', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1911889']]","This rating has been removed as per our site guidelines.; Park Doing does not structure his lectures well. It seems as though the models he uses to analyze robot ethics are made up by him. I have a feeling that he sees this class as a break from his research and so the students suffer. Grading is not clear at all. Gives a prompt for an assignment then shows the criteria for grading AFTER students submit.; Doing has no structure to his class and spends all the time holding the vaguest possible discussions. No substance is learned, the most common sources for this class are pop-science videos (which includes RT America, a Russian propaganda source). Wrote a paper where the sources were a paper from 1992 and a Quora forum. DO NOT take this class; so unclear on grading; Professor Doing is the best professor I've been taught by. He is really funny, the lectures and essays are really chilled out on one level, and yet, on another, he's actually teaching us meta-epistemology, without any of the jargon. He really made me think about ethics in a completely different light; I highly recommend him.; Professor Doing is a good guy. Very relaxed and prelims are really easy. He is kind of disorganized and grading isn't very clear. I would overall take this course again though. Not tough.; He's great. This is an awesome beginner course for philosophy. I had to take this class for my environmental science major. the required philosophy class is either in the fall (with someone else) or this one. this one is so much more relaxed. If you really want to get down and dirty with philosophy, choose fall. This one is EZPZ",7
Francesco Monticone,5,100%,3.3,Hilarious; Gives good feedback; Would take again; Inspirational; Respected; Amazing lectures; LECTURE HEAVY; ACCESSIBLE OUTSIDE CLASS; Get ready to read; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Joseph Skovira', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2367270']]","Great professor and the material is really interesting. Also, professor was very accessible and accommodating during online mode of lectures.; Taking this class with Prof. Monticone will ensure you have a deep understanding of e&m while giving a ton of applications. It is a balanced class which can take your knowledge to the level of modern research or give you a basis for deep questions on light-matter interaction. His lectures are so well designed, it is like listening to a great story!; Professor Monticone is a one of a kind teacher, & for anyone interested in learning more about electromagnetism, taking a course with him is a must! Monticone is the only Professor at Cornell (I know of) who is unanimously loved by all students. Most important course I took! He is passionate, knowledgeable, and delivers exciting lectures every time; Both of Profesor Monticone's classes are very good. He is a very good teacher who puts a lot of effort into his lectures. He covers what's at the forefront of the field, but he makes it accessible. He is very fair in his grading.; Professor Monticone is a really nice professor who take good care of his students. He is also very professional in his area which makes us learn a lot.; This class was a great introduction to metamaterials. Prof Monticone's lectures are well-paced and gives you both the fundamentals and exposure to some cutting-edge work in the field. 3 psets + 2 prelims and a final which are fairly straightforward. Also Prof Monticone is easygoing, approachable and really helpful if you go to his OH or email him!; Really great lecture! Although the content of the lecture was somewhat difficult, Prof. Monticone did his best to convey it clearly. Recommended to anyone who is interested in advanced electromagnetics.; Course is enjoyable and educating. Prof. Monticone excels at summarizing a complex body of electrodynamics theory into a clear, coherent lecture. Course material covers cutting-edge research, but is thorough in its theoretical foundation to allow the student to perform own analysis. Optional reading will give the student strong grasp on material.; An amazing course with advanced topics, which were very effectively conveyed by Prof. Monticone. I had an amazing experience in the class, and would recommend it without any hesitation.; Professor Monticone has a knack for taking complicated subjects and synthesizing clear explanations for them that do not involve complicated math. This is the second class I have taken with him and it has been a pleasure to attend his lectures; A very good course. Course materials cover from fundamental concepts and theorems of electrodynamics to frontier research topics of complex electromagnetic media and nanophotonics.; very knowledgeable in his field, good at answering questions, very friendly, gives relatively few homeworks; Prof. Monticone clearly explained the fundamentals behind novel photonic phenomenon. As a graduate student doing research in this field, I find that all the materials discussed in this class very helpful. Prof. Monticone is very knowledgeable and nice. I always enjoy the in-depth research discussions with him.; Well, his classes so far covered very specific topics--mostly related to his research interests--but he did an excellent job to engage students into those topics very naturally. He is really solid in organizing and pacing the class--not too fast and not too slow. It was great that he connects the class materials to classic or frontier researches.; The class was ideal for covering modern electromagnetism topics, and was the exact extension I needed to fill up the gap between fundamentals and application. Prof. Monticone is a great lecturer and is very knowledgeable about the subject. His notes have been very helpful, and I understand a lot more about the subject.; As a graduate student specializing in the field of metamaterials this class was a great at filling up different gaps that I had in my knowledge of the subject. Professor Monticone did a terrific job at simplifying complicated concepts with concise examples. His choice of subjects for the class was on point.; I enjoyed ECE4960 thoroughly. The course material is very interesting and of major present research interest. Francesco is very patient and helpful during office hours. The course material is intrinsically quite challenging, but I think Francesco did a good job of selecting homework and exam problems of appropriate difficulty.; Professor Monticone is a great professor. He has high standards but is also encouraging. He was really invested in whether or not I understand the material during office hours, and he's one of the best professors I've hard at Cornell from a social perspective. The material was complex, but it was doable with Monticone's patient and consistent help.; ECE 4960 is one of the best courses that I have taken at Cornell. This course perfectly connects the theory with the application. Moreover, Prof. Monticore is a very good and easy-going teacher. He explains the math precisely and his lecture notes are very clear and helpful. He always welcomes us to discuss homework problems with him.",19
David Delchamps,4.5,63%,2.8,Hilarious; Tough grader; Gives good feedback; Lots of homework; Respected; Amazing lectures; ACCESSIBLE OUTSIDE CLASS; Test heavy; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Such a good lecturer. He is so smart, it's a bit hard to follow his thought process fast enough in person. But he always records his lectures and posts them online. When you watch his lecture for a second time online, it is so mind-opening and it makes everything so explainable! Definitely gonna take his class 3250 next sem!; Amazing lecturer who writes fun, challenging, and useful homeworks. Tests are easy enough that if you understand the course material well, you're very likely to do well.; Snitch, always out there to hurt and back-stab his own students. Do not trust him with any questions he asks or responds to, and always-always record him. He ruined multiple students life and career for his personal interests. Don't take his classes, and if you are wronged by all means then file a complaint against him.; Lectures are confusing, he kept writing every single word he said on the board. Few people can catch up with his notes. Once you lost track of what's going on, the rest of the lecture becomes a waste of time. TAs are not quite helpful.; Delchamps is really a great professor and you should really try to take a class with him (especially 3250), but his organization of 4250 was a bit messy. We had 2 problem sets the whole semester which made it very difficult to learn the material otherwise. Project for the course was a lot of fun.; One of the most caring and kind professors at Cornell. Lectures always designed to reflect the class's level of understanding of the material. Answers emails and Piazza questions very quickly. Exams are challenging, but studying past exams is extremely helpful and will guarantee that you will do well.; Homework and exam require techniques that are not straightforward from what was taught in class. One must have a creativity and strong background in linear algebra.; Great teacher with amazingly thorough understanding of all the material. Always responds to emailsquestions and cares for his students. Also one big plus - homework deadlines were lax; THanks to Professor Delchamps all my other clases for my MEng came so simple. If there is a class I can remember as memorable, this is the one. How could he simply get to the blackboard and deliver his class without notes just blew my mind. When we had questions he answered in a simple way easy to understand. Thanks Prof Delchamps.; I took his class 24 years ago and his course remains the most important engineering course in my career as a surgeon and co-inventor of Rebiscan.  The overall concepts of input / output systems was delivered second to none. It was that beer he bought for me at the Palms and told me to seek advanced degrees that changed my life.; Awesome; Probably the greatest professor I've had at Cornell, highly recommend both him and the course (ENGRI 126) to anyone interested (or not interested, it was that good!) in any kind of electrical engineering or computer science or communications in general.; This is the third semester that I've had Professor Delchamps.  His style is the best I've had at Cornell.  He always gives a lot of examples and he makes the topics very easy to understand - as long as you can keep up in the notetaking and listening (which; Great guy. Class was good too.; Totally awesome teacher.  Had super clear lecture notes and very neat writing on the boards.  Extremely organized.  Overall a great teacher!; the most helpful professor i've ever known. this ECE course that i took from him however was not related in any way to ECE, and seemed to stray a bit from the topic of the course. He likes math.; Class notes extremely organized and puts all the information you need on the black board with super-fast chalk writing, exams based on homework, if you do well on homework you'll do well in the class.; Between the baggy jeans and 18 year old ski bum wannabe look, he's the best engr. professor at cornell.  very helpful, kinda ghetto, very smart, and he signs on AIM to help his students.  brilliant guy.  some bad jokes, some good ones.; Took in SP02 when lab separate. funny guy who tries his best. emphasizes math, NOT concepts. at end of course, knew how to do useless math but knew jack about circuits.  hated it for that reason. but this class made me physics instead of ECE so thx dude.",19
Carl Poitras,4.1,88%,3.3,Hilarious; Gives good feedback; Inspirational; Respected; Amazing lectures; Skip class? You won't pass.; Lecture heavy; ACCESSIBLE OUTSIDE CLASS; Participation matters; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Poitras is an extremely competent lecture/teacher. The class was tough for me because of my skill level in the subject but I truly enjoyed attending his lectures. The material taught was conceptually stimulating and enjoyable to attempt to master. I would definitely take one of his courses again.; Best 1910 lecturer this year. I switched into his class after attending a few of his lectures. He truly cares about his students and portrays the information in a learnable way. He is the type of teacher that wants all his students to be successful and is by far the best STEM teacher I have had at Cornell. Definitely focus on textbook practice.; Carl is a really great professor and definitely the best lecturer for 1910. He gives it to you straight and doesn't have unreasonable exam expectations (even if he's not the one writing it). He is a very compassionate guy and will take the time to answer questions in class or have extra office hours if necessary. Take his class!!; Carl is a great professor. It is clear he cares about the students in his class as he makes sure everyone understands a given concept before he moves on. He jokes around a lot and uses real life comparisons to keep the class engaged. Would take again 100%; Carl is the best! He gives very clear lectures that are easy to follow. He cares for his students and even gives us hints about certain topics that may show up on the prelim. He is an approachable man that is willing to answer questions in class and during office hours.; Carl genuinely cares for his students. Before prelim 2, he hosted extra office hours 3 days in a row. He was the only professor that added extra office hours. Lectures are clear and easy to follow.; Carl is awesome. He genuinely cares about his students and is just a very good-hearted professor with a lot of compassion. He's an amazing lecturer and the best.; Just a great class. This one was online and I was afraid to see what would happen. Just awesome.; I started 3400 this spring not sure what to expect given its history. Professor Poitras was just amazing teaching it, the labs were fun yet not straightforward, and the course was at the perfect level. I worked with microcontrollers before, I still learned a lot from the class. Teach more classes Prof. Poitras! Thank you ECE!; I took MAT 2930 with Professor Poitras and I was so happy that he was teaching this course. Math was never easy for me and he made the material easy to get and actually fun! Great great lectures, he understands the students point of view, answers questions clearly. Thank you!!!; I am taking MAT1910 this semester, online. It's a large class and we have many sections taught by different professors. Prof. Poitras' lecture is by far the best, clear, fun, makes me love math and i didn't really before. Thank you. Teach more classes Prof. Poitras!; Poitras is by far the best professor for 1910. He clearly is very passionate about teaching and explains difficult concepts very simply. Many CoE students in lectures with other professors have started watching Poitras instead. He is clear and concise, while still explaining everything fully. He is kind and caring, as well as very engaging.; I really struggle with calc but Carl is amazing at explaining things, he's always in a good mood, he's always down to help and answer questions. Even the CoE students who aren't in his class watch his lectures. We changed the GroupMe name to Carl Appreciation GC. If you have to take 1910, take it with him!; Awesome awesome awesome. Teach more classes Prof. Poitras! Get to his lecture even if it messes up your schedule.; What a good professor. Cornell needs more instructors like Prof. Poitras. Clear, fun, really talented instructor. The material isn't easy but you leave every lecture having understood the material so well that it makes reviewing my notes and doing the problems a breeze (with some work... lol). Thank you Prof. Poitras! Teach more classes!; Not caring. Did not bother to help us with the labs.; He seems like a nice guy, but he was a terrible professor for this class. He cancelled lectures 5 minutes before they were supposed to happen multiple times, the lecture material he presented had almost no relevance to the project we were working on, and he never seemed to know what was going on; Not the first class I have with Professor Poitras. Cornell needs more like him. He knows his stuff, is available, actually cares about his students. The course is a little heavy, we covered a lot of material, but thats why Im at Cornell. The material is current, the final project great.; Carl is a super nice dude, great lecturer and cares about his students. Go to his office hours as much as possible because they are incredibly helpful!! I wouldn't have passed this course without Carl",19
